Timestamp,CPUInfo,MemoryInfo,BatteryInfo
2024-07-09 14:57:02,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz             4          2803","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
              16511608            7915716","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                     100             2"
2024-07-12 09:36:27,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1627188","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      46             2"
2024-07-12 09:39:40,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1322476","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      49             2"
2024-07-12 09:46:40,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1344956","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      55             2"
2024-07-12 09:46:52,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1379264","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      55             2"
2024-07-12 09:47:04,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1423568","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      56             2"
2024-07-12 09:47:16,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1433024","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      56             2"
2024-07-12 09:47:26,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1408516","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      56             2"
2024-07-12 09:47:38,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1418944","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      56             2"
2024-07-12 09:47:50,"Name                                           NumberOfCores MaxClockSpeed
----                                           ------------- -------------
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz             2          2995","TotalVisibleMemorySize FreePhysicalMemory
---------------------- ------------------
               8117024            1422936","EstimatedChargeRemaining BatteryStatus
------------------------ -------------
                      56             2"
